"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
8.828,7.772,8.636,11.516,10.268,9.98,9.98,6.812,6.428,10.94,10.556,8.924,8.636,8.732,8.636,7.484,8.252,8.348,7.1,7.484,7.676,8.252,9.404,7.868,8.924,10.652,9.404,8.156,7.772,7.58,11.132,10.94,9.98,11.132,8.636,6.236,6.524,7.868,8.636,11.228,10.076,6.428,6.236,6.332,7.292,6.908,8.444,10.844,9.404,9.98,9.5,6.62,6.044,7.964,7.868,7.292,6.236,7.868,10.748,10.268
8.732,9.98,10.652,10.076,8.252,7.196,7.1,6.716,7.292,9.308,10.172,9.5,6.908,8.252,10.94,10.172,7.1,6.236,9.98,11.612,10.172,6.524,6.524,9.308,10.556,9.98,7.388,7.292,9.404,10.94,9.692,9.5,9.884,9.884,6.908,6.236,10.748,11.42,11.036,11.228,9.116,8.444,8.444,7.964,7.388,10.076,8.924,6.62,7.58,7.196,9.884,10.748,8.06,7.484,11.612,8.636,7.388,6.044,7.1,7.196
8.156,7.292,7.292,9.884,13.628,10.268,7.868,6.236,6.716,6.812,7.1,10.268,9.5,9.884,10.556,8.348,7.868,7.676,8.54,9.884,10.748,8.348,9.884,7.58,6.524,8.636,10.076,7.676,6.332,7.484,7.292,7.292,9.884,12.86,12.572,10.268,9.5,6.236,7.484,8.156,9.884,9.692,7.964,8.252,8.444,6.62,6.14,6.332,6.428,6.428,8.252,7.484,6.716,9.5,14.108,12.476,9.788,7.388,6.332,7.388
9.308,10.94,11.132,11.324,6.62,7.964,6.428,6.332,6.332,8.636,10.364,9.884,8.636,7.388,6.908,8.636,12.476,11.228,9.884,10.172,8.252,7.388,7.196,9.212,9.212,10.076,9.98,9.212,7.388,6.524,9.596,11.804,9.884,7.868,5.948,7.004,8.06,10.172,9.98,6.62,6.236,6.812,9.884,10.172,8.54,6.62,6.524,9.98,9.5,9.308,7.004,6.524,8.732,12.38,10.268,8.348,6.428,5.948,10.076,9.98
8.348,9.5,9.884,7.484,6.14,9.884,9.884,9.404,7.676,5.948,9.5,12.956,12.956,11.804,10.652,6.332,8.924,10.46,10.172,9.116,8.156,8.444,6.716,7.964,9.884,14.876,10.268,7.964,6.908,8.636,10.076,9.98,9.788,7.004,6.332,6.14,6.428,9.308,9.98,7.1,6.62,11.036,10.364,9.98,9.98,9.404,7.868,7.388,10.076,10.748,8.54,9.308,9.692,9.884,10.364,9.596,7.58,8.732,12.572,10.076
7.772,9.404,9.5,9.884,9.884,9.692,8.06,6.332,10.268,9.98,10.748,9.98,7.1,6.044,9.98,10.076,9.884,8.924,6.812,8.156,11.324,9.884,9.884,8.348,7.292,7.004,9.5,10.652,11.132,9.5,6.908,6.14,10.364,9.98,7.004,6.14,7.196,10.076,14.108,10.364,9.692,8.156,8.252,7.964,7.964,9.884,9.692,7.58,6.524,9.212,9.308,9.98,9.884,7.196,7.196,10.076,9.5,8.06,7.484,9.884
10.172,8.252,6.524,7.964,7.388,11.42,10.268,9.212,6.428,7.868,10.556,7.292,6.62,7.292,10.46,9.788,9.308,7.1,6.716,9.308,10.076,10.94,8.636,7.292,6.14,6.236,6.62,10.268,10.268,8.636,6.62,6.044,6.332,9.212,8.636,10.748,10.748,11.516,8.444,6.332,6.332,8.156,9.884,8.156,6.812,10.364,11.516,8.06,6.524,7.196,7.292,7.868,8.636,9.308,7.772,7.676,11.804,14.492,14.876,11.804
10.268,10.076,6.524,6.332,6.044,10.748,10.364,9.98,9.884,8.444,8.348,9.116,7.004,7.772,7.772,11.516,11.036,10.172,7.1,6.332,6.236,6.332,6.428,8.444,9.5,9.692,9.5,10.076,10.172,7.484,6.812,7.964,7.964,11.804,11.612,9.692,7.58,7.484,7.292,9.308,10.94,11.228,7.196,6.524,9.5,9.596,9.692,10.076,10.076,8.348,6.62,6.908,6.908,7.484,9.98,11.612,9.116,9.884,11.42,10.076
9.98,11.228,9.98,6.812,6.62,8.924,9.116,9.788,9.404,9.596,9.5,11.612,10.268,7.004,7.1,7.772,7.772,9.212,10.748,9.788,9.98,6.62,7.772,9.5,11.42,9.404,6.236,6.332,8.54,12.284,11.996,9.98,9.5,8.444,6.62,6.62,7.292,7.868,7.964,7.868,7.58,10.076,10.076,8.348,6.524,8.444,11.612,9.884,6.908,8.54,10.748,10.172,8.636,8.732,9.116,7.676,9.212,11.612,11.132,8.636
9.788,9.308,7.58,7.484,7.196,9.404,13.052,11.036,10.844,7.772,8.06,6.716,7.196,8.444,10.46,10.172,9.98,7.58,6.14,7.196,6.62,9.788,11.804,10.748,6.524,6.908,8.636,8.828,10.076,10.076,9.404,7.1,8.828,11.708,11.612,7.964,8.636,11.516,10.268,6.716,6.62,10.076,10.076,8.252,5.66,6.812,9.98,9.884,9.788,7.772,7.868,8.348,7.772,7.676,9.884,11.42,11.228,9.5,10.364,9.116
